question,label
"bagaimana jika saya salah melakukan pembayaran ke akun biznet orang lain, apakah uang saya bisa direfund?",Information
"Kamu sebagai apa di biznet",Information
"Siapa owner biznet",Information
"Saya minta no WhatsApp nya dong",Request
"Estimasi kunjungan teknisi biznet",Information
"Channel IPTV Biznet apa aja ya ?",Information
"Mau refund dana Biznet",Request
"Beberapa website tidak bisa diakses",Problem
"Bagaimana cara cek IP Server game valorant ?",Information
"Berapa jarak ideal dari DP terdekat ke rumah untuk pemasangan ?",Information
"cara relokasi layanan",Information
"PSN tidak bisa konek",Problem
"Chromecast tidak bisa digunakan.",Problem
"Perbedaan frekuensi modem 2.4Ghz dan 5Ghz .",Information
"Modem biznet wifi berapa ?",Information
"Apakah modem Biznet sudah support wifi 6 ?",Information
"Perbedaan wifi 5 dan wifi 6 modem ?",Information
"Mau mengajukan sponsorship",Request
"saya salah melakukan pembayaran ke akun orang lain",Problem
"Apa kelemahan koneksi dengan fiber ?",Information
"Kelemahan koneksi wifi",Information
"fungsi parental control modem dan caranya",Information
"Fungsi whitelist di modem",Information
"fungsi blacklist modem",Information
"Apa itu DDNS ?",Information
"Bagaimana cara mengatur DDNS ?",Information
"cara pembayaran Biznet Home.",Information
"Kuota habis",Problem
"Kuota saya tidak ter reset",Problem
"Kenapa Biznet tidak bisa menggunakan DNS Google .",Information
"Rekomendasi router dari Biznet",Information
"Rekomendasi router tambahan dari Biznet",Information
"Internet saya down sudah 2 hari apa ada kompensasi ?",Problem
"Minimal speed yang didapatkan layanan 0D ?",Information
"Balik nama akun.",Request
"Berapa perangkat untuk 0D ?",Information
"Apa itu Biznet Wifi ?",Information
"Hotspot Biznet",Information
"Cara ganti layanan home ke metronet",Information
"Internet saya down sejak semalam",Problem
"informasi harga paket area manado min",Information
"promo berlangganan 2D buy daerah bogor",Information
"mau beli ekstra kuota gimana",Request
"email biznet home",Information
"HOTLINE biznet home",Information
"harga promo 1D 12+5 jakarta",Information
"Ping tinggi",Problem
"CCTV saya tidak berfungsi dengan koneksi biznet sementara koneksi lain tidak ada kendala.",Problem
"Saya tidak bisa akses App Biznet",Problem
"Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.",Problem
"Tidak dapat membuka halaman aplikasi di situs https://app.biznet.id.",Problem
"Saya tidak bisa akses App Biznet",Problem
"Tidak dapat login ke akun Anda di https://app.biznet.id.",Problem
"cara cek coverage area",Information
"Apakah saya bisa menambah Add On IPTV ?",Information
"Apa syarat untuk berhenti berlangganan ?",Information
"cara pasang router tambahan",Information
"kok bandwidth yang kudapat ngga sesuai sih???",Problem
"iya router seperti tenda",Information
"kapan teknisinya datang",Request
"kok tanggal jatuh tempo nya maju terus ya?",Problem
"Adakah perubahan nomor pelanggan utk biznet saya?",Information
"Adakah perubahan nomor ID pelanggan utk biznet saya?",Information
"Kenapa My Biznet saya ada 2 akun atas nama orang lain?",Problem
"Saya tidak dapat mengirim dan menerimal email",Problem
"apakah untuk pergantian paket layanan bisa sekaligus bundling promo tahunan?",Information
"modemnya rental sampai kapan ya?",Information
"apakah jika saat proses pergantian paket layanan melalui Apps MyBiznet  terdapat kendala salah order bisa dicancel?",Information
"apakah bisa request pemisahan akun jika dalam satu akun terdaftar 2 billing pembayaran?",Information
"apakah untuk pergantian email dan nomor telepon terdaftar harus mengisi form pergantian data?",Information
"syarat relokasi apa saja?",Information
"bilamana alamat baru belum tercakup layanan biznet apakah akun saya bisa dialihkan ke orang lain?",Information
"jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?",Information
"apakah bisa jika saya tidak bayar sebulan karena akan keluar kota?",Information
"tanggal berapa biasanya akan terdebet?",Information
"tanggal berapa cc biasanya akan terdebet?",Information
"untuk permintaan add on kouta bisa melalui apa saja?",Information
"bisa diinformasikan untuk reset kouta setiap tanggal berapa?",Information
"bisa dicek ID pelanggan ini 1000308564 los merah menyala?",Problem
"di nabire sudah kaver belum",Information
"apakah bisa cek status internet saya",Request
"koneksi terputus",Problem
"kalo lambat gmn",Problem
"kalo internet lambat gmn ceknya",Problem
"Apakah bisa melakukan perubahan paket?",Request
"Mau tanya, kalo ini pingnya sesuai ga?",Information
"Cara relokasi",Information
"cara tau jumlah prangkat terhubng gimana",Information
"cara membeli promo",Information
"di batam ada layanan apa aja",Information
"kapan teknisi datang",Request
"internet saya ada loss merah",Problem
"cara mengetahui cakupan area",Information
"call center homecare",Information
"berapa suhu modem seharusnya",Information
"internet saya lambat",Problem
"Nomor call center homcare berapa",Information
"harga promo home internet 1D",Information
"mau nambah router min jual ngga",Request
"estimasi perbaikan kendala area sampai kapan?",Request
"harga mesh wifi berapa?",Information
"mau nambah router min jual ngga",Request
"Estimasi waktu relokasi",Information
"mau nambah router min jual ngga",Request
"cara berlangganan biznet",Information
"internet Down",Problem
"Harga visit berbayar",Information
"cara order promo min",Information
"cara pengajuan auto debit",Information
"cara melakukan terminasi",Information
"harga IPTV",Information
"Apakah perubahan paket menghanguskan masa aktif?",Information
"cara login ke mybiznet",Information
"cara cek fup atau kuota",Information
"pembelian IPTV",Information
"Kak, saya mau pasang wifi di alamat yg berbeda. Saya juga sempet tanya ke sales area jl h hasan kelurahan baru, an Mas Zikri. Tp contact beliau tidak bisa dihubungi lagi",Problem
"min modem saya hilang",Problem
"mau masuk ke modem?",Information
"iya min cara akses ke modem mau ganti password",Request
"cara cek tanggal reset kuota?",Information
"kendapa speed test lemah ya?",Problem
"Saya ada kendala login ke app Biznet sudah ganti password ngak bisa masuk2",Problem
"cara relokasi",Information
"Minta kompensasi karena internet kendala terus",Request
"cara melakukan terminasi",Information
"cara mengganti password wifi",Information
"cek lokasi dong",Request
"Ka gmna ya sayang udah beres payment dari hari jumat janji di pasang sore ternyata gabisa katanya paling lambat pagi besok nya, tapi sampe sekrang belum datang datang gmna yah",Problem
"harga promo biznet home internet 2D modem beli",Information
"harga modem biznet",Information
"Modem saya ada lampu merahnya min?",Problem
"Jadwal reset fup",Information
"sudah bayar tapi masa aktif gak sesuai kak?",Problem
"cara upgrade layanan",Information
"jaringan saya putus sambung",Problem
"Mau berhenti berlangganan, Belum pasti nanti akan digunakan kembali atau tidak Pak",Request
"cara melakukan pembayaran melalui virtual account BCA",Information
"cara melakukan pembayaran melalui virtual account BCA",Information
"cara melakukan pembayaran melalui virtual account BCA",Information
"cara order promo",Information
"cara melakukan relokasi",Information
"Saya mau pindahin modem gimana caranya?",Request
"Minta kompensasi karena internet kendala terus",Request
"biaya relokasi",Information
"wifi saya bermasalah",Problem
"Kenapa reminder tidak masuk WA atau sms?",Problem
"Apakah ada promo untuk bulan ini?",Information
"cara order promo",Information
"Harga biznet home internet 1D",Information
"Ini kenapa ada biznet autodebet yg sudah saya cancel masih tetep masuk ya tagihannya ke credit card saya",Problem
"internet saya bermasalah",Problem
"Virtual account BCA",Information
"Virtual account permata",Information
"Cara mengetahui id billing",Information
"cara registrasi kembali",Information
"harga home internet 0D",Information
"cara mengetahui masa aktif akun",Information
"cara order modem biznet",Information
"saya sudah bayar tapi belum aktif?",Problem
"kenapa bayar di atas jam 12 malam gak langsung aktif internetnya?",Problem
"Cara pembayaran melalui tokopedia",Information
"cara restart modem",Information
"cara terminasi",Request
"cara menambah installasi biznet",Information
"Promo untuk pelanggan baru?",Information
"mau ajuin perluasan wilayah gimana caranya?",Request
"cara menemukan sn modem",Information
"cara mengetahui jumlah perangkat yang terhubung",Information
"Teman saya pelanggan Biznet kok dapat gratis kesehatan, saya tidak dapat?",Problem
"cara setting ke bridge",Information
"cara mengetahui nomor pembayaran baru",Information
"cara order promo melalui Mybiznet",Information
"can you speak english?",Information
"cara mendapatkan form relokasi",Information
"Hai, my connection internet is so bad, can you help me?",Request
"cara add on kuota",Information
"Biaya pinalty terminasi",Information
"Cara setting CCTV?",Information
"lampu modem loss merah",Problem
"cara setting CCTV pakai jaringan biznet",Information
"nomor call center biznet home",Information
"cara reset password mybiznet",Information
"cara merubah e-mail terdaftar",Information
"internet saya down dari semalam",Problem
"Harga mesh wifi berapa",Information
"Harga paket yang tersedia di Biznet Home",Information
"Harga paket yang tersedia untuk di Sumatera",Information
"Apakah layanan Biznet Home dikenakan kontrak",Information
"Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?",Information
"Jika kuota utama habis, apakah internetnya tidak bisa digunakan?",Information
"Apa itu FUP",Information
"Kapan kuota akan direset",Information
"Apakah masa aktif terhitung 30 hari?",Information
"Apakah Biznet Home memiliki promo",Information
"Apakah Biznet Home memiliki kompensasi",Information
"Apakah Biznet dapat melakukan refund jika terjadi kesalahan pembayaran?",Information
"cara mengetahui masa aktif akun",Information
"Harga IPTV",Information
"Apakah benar di beberapa area tidak diperlukan modem atau perangkat?",Information
"Bagaimana cara terminasi",Information
"Bagaimana cara relokasi",Information
"Bagaimana jika ingin relokasi namun alamat barunya tidak tercakup",Request
"Internetnya lambat",Problem
"Apakah Biznet ada pemblokiran IP",Information
"Berapa maksimal device pada layanan 0D",Information
"Berapa maksimal device pada layanan 1D",Information
"Berapa maksimal device pada layanan 2D",Information
"Berapa maksimal device pada layanan 3D",Information
"Apakah bisa memiliki lebih dari 1 akun?",Information
"Berapa lama proses pemasangan setelah dilakukan pembayaran",Information
"Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?",Information
"Berapa biaya instalasi",Information
"Berapa harga modem membeli dan menyewa",Information
"Apakah Biznet memiliki masa tenggang?",Information
"Apakah modem bisa diganti jika terjadi kerusakan",Information
"Jika akunnya sudah diterminasi, apakah bisa berlangganan kembali",Information
"Apakah ada garansi pada pembelian modem?",Information
"Apakah ada garansi pada pembelian modem?",Information
"Apakah ada garansi pada perangkat Biznet IPTV STB",Information
"Berapa biaya relokasi",Information
"Jika skema modem diawal menyewa, apakah bisa dilakukan pembelian",Information
"Apakah dikenakan biaya jika ingin downgrade layanan?",Information
"Bagaimana cara relokasi",Information
"cara mengetaui billing ID",Information
"cara pembayaran",Information
"cara mengambil promo",Information
"cara mengecek coverage area",Information
"Apakah biznet memiliki SLA",Information
"Bagaimana cara memperluas jangkauan modem",Information
"Bagaimana mana cara memperluas jangkauan sinyal",Information
"Jika terdapat LOS merah di modem apakah yang harus dilakukan",Problem
"Bagaimana jika speed yang didapatkan tidak sesuai",Problem
"Apakah Biznet dapat dilakukan refund jika pelanggan tidak puas dengan layanannya",Information
"Harga mesh wifi berapa",Information
"Apakah Biznet menyediakan kabel LAN",Information
"Jika terdapat kendala pada adaptor, apakah bisa diganti",Request
"Bagaimana cara pembelian remote untuk STB",Information
"Bagaimana jika IPTV hanya blank hitam saja",Problem
"Bagaimana cara restart STB",Information
"Bagaimana cara restart modem",Information
"Apakah biznet memiliki layanan bandwidth on demand",Information
"bagaimana cara registrasi Biznet",Information
"Via portal apa saja untuk menghubungi Biznet customer service",Information
"Apakah biznet metronet memiliki SLA",Information
"paket yang miliki ip public",Information
"Apakah layanan Biznet Home upload dan downloadnya simetris",Information
"Bagaimana cara agar koneksi internet tetap stabil",Information
"Jika banyak perangkat yang terhubung pada modem, apakah akan berpengaruh pada speed yang didapatkan?",Information
"Jika FUP yang digunakan sudah melebihi pemakaian, apa yang akan terjadi",Information
"call center homecare",Information
"kalo nomor telepon Home care berapa ya? saya mau call",Information
"Apakah jika banyak perangkat yang terhubung dapat mempengaruhi FUP",Information
"cara order promo min",Information
"Bagaimana cara pembelian extra kuota",Information
"Apakah bisa berlangganan kembali jika sudah melewati masa tenggang selama 45 hari",Information
"jika ingin menambahakan akun, apakah bisa menggunakan identitas yang sama",Information
"Apakah bisa menggunakan e-mail dan nomor telepon yang sama",Information
"apakah Biznet Home mengeluarkan invoice fisik",Information
"Internet saya down bisa di bantu cek?",Request
"Berapa biaya visit berbayar",Information
"bagaimana cara merubah data",Request
"cara mengajukan perpindahan tiang biznet sebagai non customer",Request
"Bagaimana prtosedur relokasi?",Information
"Apa status modem saya?",Request
"jika modem saya rusak apakah bisa dilakukan pergantian?",Request
"bagaimana cara cek IP address saya?",Information
"bagaimana cara lihat jumlah perangkat yang terhubung ke modem saya?",Information
"Berapa meter jarak ideal pemakaian wifi dari modem biznet",Information
"apakah ada loker di Biznet",Information
"apakah modem biznet bisa digunakan kembali jika saya pernah ajukan terminasi?",Request
"apakah akun saya bisa dialihkan ke orang lain?",Information
"apakah KTP yang sudah saya daftarkan bisa didaftarkan lagi?",Information
"Apakah mybiznet ada aplikasinya di playstome atau appstore?",Information
"apakah bisa ajukan terminasi melalui MyBiznet?",Information
"apakah modem biznet bisa diganti dengan modem yang saya beli sendiri di luar?",Information
"bagaimana cara mengganti password wifi",Information
"apakah jaringan biznet bisa diperjual belikan lagi?",Information
"bagaimana cara mengganti SSID wifi",Information
"bagaimana cara membuat pembayaran menjadi auto debet",Information
"kapan akan dikirimkan reminder pembayaran",Information
"berapa meter jangkauan modem biznet",Information
"apakah jaringan Biznet free hotspot diluar bisa saya gunakan?",Information
"bagaimana cara berlangganan internetnya saja tanpa iptv",Information
"apakah perkantoran bisa menggunakan layanan Home?",Information
"paket yang disarankan jika ingin menggunakan cctv",Information
"bagaimana cara menambahkan kartu kredit",Information
"apakah akun saya bisa dialihkan ke non FUP?",Request
"bagaimana cara memberhentikan kartu kredit",Information
"jika FUP saya habis apakah inet saya masih bisa digunakan?",Information
"apakah biznet menyediakan modem wireless?",Information
"bagaimana jika ingin terminasi namun terdapat kartu kredit",Request
"Apakah perangkat akan diambil jika modemnya membeli",Information
"apakah tidak ada promo pembelian modem?",Information
"Apakah bisa dilakukan rekoneksi",Request
"apakah cabang gunung putri buka setiap hari?",Information
"Apakah tiang biznet berwarna kuning",Information
"apakah boleh saya datang ke cabang?",Information
"Harga internet 1DS",Information
"Harga internet 0DS",Information
"Harga internet 3DS",Information
"Harga internet 1DW",Information
"Harga internet 2DW",Information
"Harga internet 3DW",Information
"Apakah Free Extra Quota hanya untuk pelanggan baru atau existing",Information
"Ip yang didapatkan pada paket 1D",Information
"bagaimana cara ubah password akun mybiznet?",Information
"cara stop auto debet?",Information
"layanan IPTV biznet bisa terhubung ke berapa TV?",Information
"apakah stb tv biznet bisa ditukar jika rusak?",Information
"Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan relokasi",Problem
"apakah dapat menchandise jika pemasangan biznet?",Information
"Mengapa masih mendapatkan reminder tagihan padahal sudah mengajukan terminasi",Information
"berapa harga remote iptv?",Information
"Apakah biznet menyediakan Merchandise",Information
"Apakah biznet melakukan pemblokiran port",Information
"apakah remot tv iptv bisa beli diluar biznet?",Information
"bagaimana cara melakukan pergantian password pada akun MyBiznet",Information
"Apakah sinyal modem akan mencakup seluruh ruangan",Information
"Apakah Biznet ada channel GBO",Information
"Apakah Biznet ada channel HBO",Information
"berapa lama proses installasi biznet?",Information
"apakah relokasi modem biznet bisa saya relokasi mandiri?",Information
"Halo internet saya down sejak kemarin bisa di cek",Request
"mengapa saya tidak bisa akses google.com menggunakan koneksi biznet?",Problem
"Mengapa tidak bisa menggunakan DNS lain?",Problem
"apa itu DNS?",Information
"Apakah bisa dilakukan perubahan atas nama",Information
"apa itu IP?",Information
"Apakah biznet home mengeluarkan faktur pajak",Information
"apa bedanya IP static dan IP dinamic?",Information
"Apakah setiap melakukan pembayaran, pelanggan akan menerima konfirmasi pembayaran berhasil",Information
"Apakah Biznet Home bisa melakukan perubahan nama atas nama PT",Information
"Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet",Information
"apa arti Biznet?",Information
"cara melakukan pembayaran via bank BRI",Information
"apakah biznet pempunya layanan telepon?",Information
"cara melakukan pembayaran via bank Mandiri",Information
"cara melakukan pembayaran via Tokopedia",Information
"cara melakukan pembayaran via Bank BCA",Information
"Apakah layanan home memiliki jatuh tempo",Information
"Apakah layanan home memiliki jatuh tempo setiap bulannya",Information
"packet loss",Problem
"promo",Information
"TV tidak bisa koneksi internet",Problem
"Smart TV saya terkendala",Problem
"STB Communication Error",Problem
"STB Connection Error",Problem
"Cara Factory Reset STB",Information
"Cara melihat device yang terhubung di modem.",Information
"weak security pada iphone",Problem
"Rekomendasi router untuk game",Information
"ping jumping",Problem
"Ada promo 3+1 ga",Information
"youtube nya putus putus",Problem
"sudah restart modem tapi masih sama",Problem
"bisakah datangkan teknisi",Request
"oi putus nih inetnya",Problem
"apa status modem saya?",Request
"kenapa koneksi saya putus-putus?",Problem
"Apakah masa kontrak berlaku untuk pelanggan yang membeli modem?",Information
"Apakah dikenakan biaya jika alamat instalasi menggunakan jalur kabel bawah tanah?",Information
"Apakah MyBiznet bisa menampilkan banyak akun",Information
"bagaimana cara mengganti password wifi",Information
"kapan akan dikirimkan reminder pembayaran",Information
"apakah biznet menyediakan modem wireless?",Information
"apakah tidak ada promo pembelian modem?",Information
"dimana kantor pusat biznet?",Information
"apakah Biznet bisa membayar pasca bayar",Information
"Apakah Free Extra Quota hanya untuk pelanggan baru atau existing",Information
"Perbedaan IP Dynamic Private dan IP Public Dynamic",Information
"apakah remot tv iptv bisa beli diluar biznet?",Information
"Apakah bisa dilakukan perubahan paket dari Biznet Home ke Biznet Metronet",Information
"cara melakukan pembayaran via bank Mandiri",Information
"Cek sisa kuota saya berapa?",Request
"Cara ubah paket",Information
"packet loss",Problem
"ada promo 6+2 ga",Information
"call center homecare",Information
"nomornya call center berapa?",Information
"Call center layanan home berapa sih?",Information
"mau nambah router min jual ngga",Request
"cara order promo min",Information
"pembelian IPTV",Information
"Apakah saya bisa menambah Add On IPTV ?",Information
"Apakah saya bisa merubah tagihan perbulan menjadi pertahun ?",Information
"jika saya terminasi sebelum masa kontak langganan berakhir dikarenakan alamat baru belum tercakup apakah  tidak dikenakan biaya pinati?",Information
"internet terputus",Problem
"Boleh di bantu kendala internet down",Request
"Bisa menggunakan bahasa indonesia",Information
"tanggal berapa biasanya akan terdebet?",Information
"tanggal berapa biasanya akan terdebet?",Information
"Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?",Information
"Untuk Kartu kredit, tanggal berapa biasanya akan terdebet?",Information
"untuk permintaan add on kouta bisa melalui apa saja?",Information
"bisa dicek ID pelanggan ini 10003 los merah menyala?",Request
"bisa dicek ID pelanggan ini 10003 los merah menyala?",Request
"kenapa koneksi internet saya putus nyambung?",Problem
"kenapa koneksi internet saya putus nyambung?",Problem
"kenapa koneksi internet saya putus nyambung?",Problem
"mengapa saat saya main game ping nya tinggi?",Problem
"bagaimana cara mengecek kouat pemakaian saya dibulan ini?",Information
"bagaimana cara mengecek kouat pemakaian saya dibulan ini?",Information
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"Terminasi layanan Biznet kemana?",Information
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"Untuk change package bagaimana?",Information
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"Layanan internet LOS",Problem
"Jenis jenis paket Biznet Home apa aja min?",Information
"Untuk paket HOME 0D benefitnya apa aja?",Information
"Apakah area saya di cibarusah sudah tercakup?",Information
"Paket Home 3D benefitnya apa?",Information
"kelurahan tebet sudah tercakup blm ya?",Information
"Kalau biaya pemasangan baru berapa kak?",Information
"Promo perpanjangan ada apa aja kak?",Information
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"internet saya mati",Problem
"cara beli promo gemana ?",Information
"Relokasi layanan Biznet Home?",Request
"saya ingin mengecek masa aktif akun saya sampai kapan?",Request
"apakah bisa membeli router tambahan dari biznet?",Information
"apakah ada pengeblokan port internet untuk layanan Biznet ?",Information
"Biaya relokasi layanan Biznet Home berapa kak?",Information
"Untuk harga paket di lokasi batam apakah dikenakan PPN kak?",Information
"Kenapa VPN kantor saya tidak ada koneksi.",Problem
"Berapa harga STB Biznet?",Information
"Untuk biaya berlangganan IPTV berapa?",Information
"ping mobile legend tinggi",Problem
"kenapa hasil trace route ada RTO ?",Problem
"perbedaan speed dan bandwidth",Information
"Berapa lama IP Biznet Home terganti",Information
"Cara cek coverage layanan Biznet Home",Information
"Cara cek masa aktif layanan Biznet saya",Information
"Troubleshoot internet lambat",Problem
"Troubleshoot modem blinking",Problem
"Kabel fiber saya ada yang putus kak, saya harus gimana ya?",Problem
"Saya mau pasang Kak, untuk kebutuhan 3 orang kira-kira paket yang cocok apa ya?",Request
"Kalo untuk layanan IPTV ada ga kak?",Information
"Untuk STB nya apakah ada biaya lagi?",Information
"Baik, untuk estimasi pemasangan baru berapa lama kak?",Information
"Untuk biaya pemasangannya apakah dibayarkan di awal?",Information
"Untuk layanan customer service Biznet Home bisa menghubungi kemana?",Information
"Registrasi pemasangan baru bisa melalui apa?",Information
"IP yang didapatkan dari paket Biznet Home apa ya Kak?",Information
"Untuk minimal berlangganannya selama berapa Bulan ya Kak?",Information
"Kalau telat melakukan pembayaran paket apakah ada denda kak?",Information
"Untuk biaya kunjungan petugas berapa?",Information
"Cara ubah password wifi di lokasi bagaimana?",Information
"SSID saya hilang, bagaimana mengatasinya?",Problem
"Kenapa saya tidak bisa akses website lokal?",Problem
"SSID saya muncul, tapi tidak ada jaringan internetnya. Bagaimana ya kak agar bisa normal kembali?",Problem
"Untuk username login myBiznet apa ya kak?",Information
"Bagaimana cara ubah alamat Email terdaftar kak?",Information
"Apakah layanan Biznet bisa diganti kepemilikan?",Information
"Cara cek status billing pembayaran?",Information
"Cek kode virtual akun pembayaran billing biznet home?",Request
"koneksinya lambat",Problem
"koneksinya lambat",Problem
"Internet saya putus",Problem
"Inwt mati ni",Problem
"Internet putus ni",Problem
"Oke terus paket bixnet ada apa aha sih?",Information
"cara cek kuota",Information
"Koneksi Lambat",Problem
"Berapa harga paket 150mbps",Information
"Tidak Ada Koneksi",Problem
"Relokasi",Request
"Ubah Layanan",Request
"kalau aku mau mengajukan penutupan akun apakah bisa?",Information
"Syarat Dan Ketentuan Layanan Biznet Home",Information
"Syarat Dan Ketentuan Layanan Biznet Home",Information
"cara melakukan registrasi ulang",Information
"jaminan gangguan Layanan",Information
"jumlah channel TV yang terdapat di dalam Layanan Biznet Biznet IPTV",Information
"masa tenggang Biznet",Information
"bagaimana cara ikut promo?",Information
"ada promo apa saja yang berlaku?",Information
"bagimana mau promo 9+3?",Information
"kalo promo 3+1 gimana?",Information
"promo 8+4 ada?",Information
"saya maunya promo 6+6",Request
"biaya instalasi",Information
"mau 12+5 deh kak",Request
"biaya perangkat Biznet WiFi Fiber Modem",Information
"biaya  Home Internet 0DS",Information
"saya mau terminasi",Request
"biaya perangkat  layanan Biznet IPTV",Information
"Biaya yang timbul akibat relokasi",Information
"biaya setiap bulan  Biznet IPTV",Information
"garansi untuk perangkat Biznet WiFi Fiber Modem",Information
"garansi perangkat Biznet IPTV STB",Information
"biaya sewa perangkat setiap bulan  Biznet WiFi Fiber Modem",Information
"biaya penalti Apabila Pelanggan melakukan terminasi sebelum habis masa kontrak",Information
"berapa lama proses instalasi hingga layanan aktif",Information
"proses penjadwalan instalasi, aktivasi dan relokasi membutuhkan waktu?",Information
"Cara Mempercepat Jaringan WiFi Biznet",Problem
"Cara Mengatasi WiFi Biznet Lemot",Problem
"Biznet Smart Internet WiFi",Problem
"bagaimana cara terminasi",Request
"apakah modem saya akan dilakukan pengambilan?",Information
"apakah ada biaya terminasi?",Information
"syarat mengajukan terminasi apa saja?",Information
"saya mau ganti modem",Request
"bagaimana cara ganti modem",Request
"cara ganti modem rusak",Request
"cara beli router tambahan",Request
"apakah bisa memanggil teknisi untuk setting router?",Request
"bagaimana cara memindahkan modem Biznet?",Request
"jenis paket internet biznet apa saja?",Information
"perbedaan jenis ip layanan biznet apa saja?",Information
"paket 1d jenis ip apa?",Information
"paket 2d jenis ip apa?",Information
"paket 3d jenis ip apa?",Information
"Bandiwth 1D berapa?",Information
"Bandiwth 2D berapa?",Information
"Bandiwth 3D berapa?",Information
"bagaimana cari downgrade?",Request
"bagaimana cara upgrade?",Request
"internet saya lambat",Problem
"internet saya putus sambung",Problem
"ada lampu loss merah",Problem
"bagaimana cara cek status modem?",Information
"apakah ada layanan IP Statik?",Information
"bagaimana agar ip saya berubah?",Request
"modam saya mati total",Problem
"bagaimana cek sisa kuota saya?",Information
"bagaimana cara ganti password wifi",Information
"bagaimana cek apakah modem sudah support 5G?",Information
"kapan saya harus isi ulang kuota?",Information
"bagaimana cara beli xtra kuota?",Request
"berapa jumlah bandwodth over kuota?",Information
"berapa perangkat untuk 0d?",Information
"berapa perangkat untuk 1D?",Information
"berapa perangkat untuk 2D?",Information
"berapa perangkat untuk 3D?",Information
"berapa perangkat untuk 0ds?",Information
"berapa perangkat untuk 1ds?",Information
"berapa perangkat untuk 2ds?",Information
"berapa perangkat untuk 3ds?",Information
"berapa perangkat untuk 0dw?",Information
"berapa perangkat untuk 1dw?",Information
"berapa perangkat untuk 2dw?",Information
"berapa perangkat untuk 3dw?",Information
"berapa perangkat untuk 1dn?",Information
"paket 1dn untuk area mana?",Information
"paket 1ds untuk area mana?",Information
"harga net dari layanan 3D gamers berapa?",Information
"Layanan yang di sarankan untuk menggunakan CCTV",Information
"Layanan Biznet Home yang di rekomendasikan untuk main game",Information
"internet lambat sekali, ada saran mengatasinya?",Problem
"keunggulan layanan 0D apa aja ya",Information
